"","SpeciesName","AccNum","SeqName","SeqLen"
"74","Balaenoptera acutorostrata","XM_057546306.1","PREDICTED: Balaenoptera acutorostrata casein beta (CSN2), mRNA","812"
"75","Balaenoptera edeni","EU444895.1","Balaenoptera edeni CSN2 (CSN2) gene, partial cds","424"
"76","Balaenoptera borealis","EU444894.1","Balaenoptera borealis CSN2 (CSN2) gene, partial cds","424"
"77","Balaenoptera physalus","EU444892.1","Balaenoptera physalus CSN2 (CSN2) gene, partial cds","424"
"78","Balaenoptera musculus","XM_036853046.1","PREDICTED: Balaenoptera musculus casein beta (CSN2), transcript variant X2, mRNA","1137"
"79","Megaptera novaeangliae","JF701640.1","Megaptera novaeangliae voucher SWFSC Z11727 beta-casein (CSN2) gene, exon 7 and partial cds","585"
"80","Balaena mysticetus","EU444900.1","Balaena mysticetus CSN2 (CSN2) gene, partial cds","424"
"81","Caperea marginata","JF701642.1","Caperea marginata voucher SWFSC Z26572 beta-casein (CSN2) gene, exon 7 and partial cds","574"
"82","Eubalaena glacialis","XM_061191016.1","PREDICTED: Eubalaena glacialis casein beta (CSN2), mRNA","813"
"83","Stenella frontalis",NA,NA,NA
"84","Globicephala melas","XM_030880736.2","PREDICTED: Globicephala melas casein beta (CSN2), mRNA","813"
"85","Eubalaena australis",NA,NA,NA
"86","Mesoplodon peruvianus","JF701639.1","Mesoplodon peruvianus beta-casein (CSN2) gene, exon 7 and partial cds","584"
"87","Eubalaena japonica","EU444901.1","Eubalaena japonica CSN2 (CSN2) gene, partial cds","424"
"88","Balaenoptera bonaerensis","EU444896.1","Balaenoptera bonaerensis CSN2 (CSN2) gene, partial cds","424"
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus","JF504856.1","Tursiops aduncus voucher SWFSC Z4172 beta-casein (CSN2) gene, partial cds","424"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai",NA,NA,NA
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
"97","Hexaprotodon liberiensis",NA,NA,NA
"98","Hexaprotodon madagascariensis",NA,NA,NA
"99","Hippopotamus amphibius","XM_057726918.1","PREDICTED: Hippopotamus amphibius kiboko casein beta (CSN2), mRNA","936"
"100","Hippopotamus lemerlei",NA,NA,NA
"101","Hippopotamus laloumena",NA,NA,NA
