"","SpeciesName","AccNum","SeqName","SeqLen"
"31","Cephalorhynchus commersonii","JF505015.1","Cephalorhynchus commersonii voucher SWFSC Z480 protamine p1 (PRM1) gene, complete cds","414"
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis","GQ368509.1","Lissodelphis borealis voucher SWFSC:Z176 protamine P1 (PRM1) gene, complete cds","414"
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus","GQ368513.1","Grampus griseus voucher SWFSC:Z483 protamine P1 (PRM1) gene, complete cds","414"
"38","Peponocephala electra","JF505016.1","Peponocephala electra voucher SWFSC Z34003 protamine p1 (PRM1) gene, complete cds","414"
"39","Feresa attenuata","GQ368511.1","Feresa attenuata voucher SWFSC:Z3944 protamine P1 (PRM1) gene, complete cds","414"
"40","Pseudorca crassidens","EU697406.1","Pseudorca crassidens protamine P1 (PRM1) gene, complete cds","414"
"41","Globicephala macrorhynchus","GQ368512.1","Globicephala macrorhynchus voucher SWFSC:Z537 protamine P1 (PRM1) gene, complete cds","414"
"42","Orcinus orca","EU697405.1","Orcinus orca protamine P1 (PRM1) gene, complete cds","414"
"43","Orcaella brevirostris",NA,NA,NA
"44","Phocoena phocoena","EU697404.1","Phocoena phocoena protamine P1 (PRM1) gene, complete cds","415"
"45","Phocoena sinus",NA,NA,NA
"46","Phocoena dioptrica",NA,NA,NA
"47","Phocoena spinipinnis",NA,NA,NA
"48","Neophocaena phocaenoides","GQ368515.1","Neophocaena phocaenoides voucher SWFSC:Z984 protamine P1 (PRM1) gene, complete cds","415"
"49","Phocoenoides dalli","GQ368514.1","Phocoenoides dalli voucher SWFSC:Z711 protamine P1 (PRM1) gene, complete cds","415"
"50","Delphinapterus leucas","GQ368517.1","Delphinapterus leucas protamine P1 (PRM1) gene, complete cds","418"
"51","Monodon monoceros","GQ368516.1","Monodon monoceros protamine P1 (PRM1) gene, complete cds","350"
"52","Physeter macrocephalus","EU444927.1","Physeter catodon PRM1 (PRM1) gene, complete cds","342"
"53","Kogia breviceps","GQ368525.1","Kogia breviceps voucher SWFSC:Z10119 protamine P1 (PRM1) gene, complete cds","340"
"54","Kogia sima","GQ368524.1","Kogia sima voucher SWFSC:Z23604 protamine P1 (PRM1) gene, complete cds","342"
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii","GQ368522.1","Berardius bairdii voucher SWFSC:Z4963 protamine P1 (PRM1) gene, complete cds","362"
"57","Ziphius cavirostris","EU444928.1","Ziphius cavirostris PRM1 (PRM1) gene, complete cds","361"
"58","Tasmacetus shepherdi","GQ368521.1","Tasmacetus shepherdi voucher SWFSC:Z4971 protamine P1 (PRM1) gene, complete cds","361"
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus",NA,NA,NA
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi","GQ368519.1","Mesoplodon grayi voucher SWFSC:Z6997 protamine P1 (PRM1) gene, complete cds","362"
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens","GQ368520.1","Mesoplodon bidens voucher SWFSC:Z3859 protamine P1 (PRM1) gene, complete cds","362"
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris",NA,NA,NA
"73","Eschrichtius robustus","EU444936.1","Eschrichtius robustus PRM1 (PRM1) gene, complete cds","421"
"74","Balaenoptera acutorostrata","EU444935.1","Balaenoptera acutorostrata PRM1 (PRM1) gene, complete cds","421"
"75","Balaenoptera edeni","EU444933.1","Balaenoptera edeni PRM1 (PRM1) gene, complete cds","421"
"76","Balaenoptera borealis","EU444932.1","Balaenoptera borealis PRM1 (PRM1) gene, complete cds","421"
"77","Balaenoptera physalus","EU444930.1","Balaenoptera physalus PRM1 (PRM1) gene, complete cds","421"
"78","Balaenoptera musculus","EU444931.1","Balaenoptera musculus PRM1 (PRM1) gene, complete cds","421"
"79","Megaptera novaeangliae","EU444929.1","Megaptera novaeangliae PRM1 (PRM1) gene, complete cds","421"
"80","Balaena mysticetus","EU444938.1","Balaena mysticetus PRM1 (PRM1) gene, complete cds","421"
"81","Caperea marginata","EU444937.1","Caperea marginata PRM1 (PRM1) gene, complete cds","421"
"82","Eubalaena glacialis","GQ368527.1","Eubalaena glacialis voucher SWFSC:Z13086 protamine P1 (PRM1) gene, complete cds","421"
"83","Stenella frontalis","JF505008.1","Stenella frontalis voucher SWFSC Z2810 protamine p1 (PRM1) gene, complete cds","414"
"84","Globicephala melas",NA,NA,NA
"85","Eubalaena australis","GQ368526.1","Eubalaena australis voucher SWFSC:Z18928 protamine P1 (PRM1) gene, complete cds","421"
"86","Mesoplodon peruvianus","GQ368518.1","Mesoplodon peruvianus protamine P1 (PRM1) gene, complete cds","362"
"87","Eubalaena japonica","EU444939.1","Eubalaena japonica PRM1 (PRM1) gene, complete cds","421"
"88","Balaenoptera bonaerensis","EU444934.1","Balaenoptera bonaerensis PRM1 (PRM1) gene, complete cds","421"
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus","JF505006.1","Tursiops aduncus voucher SWFSC Z4172 protamine p1 (PRM1) gene, complete cds","414"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai",NA,NA,NA
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni","JF505017.1","Orcaella heinsohni voucher SWFSC Z2905 protamine p1 (PRM1) gene, complete cds","414"
