"","SpeciesName","AccNum","SeqName","SeqLen"
"28","Lagenorhynchus obscurus","HQ873588.1","Lagenorhynchus obscurus voucher SWFSC Z37807 microcephalin (MCPH1) gene, exon 8 and partial cds","1221"
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii","HQ873590.1","Cephalorhynchus commersonii voucher SWFSC Z480 microcephalin (MCPH1) gene, exon 8 and partial cds","1221"
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis","HQ873591.1","Lissodelphis borealis voucher SWFSC Z39099 microcephalin (MCPH1) gene, exon 8 and partial cds","1221"
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus","KY011994.1","Grampus griseus isolate M6 microcephalin 1 (MCPH1) pseudogene, partial sequence","3538"
"38","Peponocephala electra","HQ873596.1","Peponocephala electra voucher SWFSC Z34003 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"39","Feresa attenuata","HQ873594.1","Feresa attenuata voucher SWFSC Z3944 microcephalin (MCPH1) gene, exon 8 and partial cds","1191"
"40","Pseudorca crassidens","XM_067721972.1","PREDICTED: Pseudorca crassidens microcephalin 1 (MCPH1), transcript variant X4, mRNA","2198"
"41","Globicephala macrorhynchus","HQ873597.1","Globicephala macrorhynchus voucher SWFSC Z39091 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"42","Orcinus orca","HQ873586.1","Orcinus orca voucher SWFSC Z6004 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"43","Orcaella brevirostris",NA,NA,NA
"44","Phocoena phocoena","XM_065899863.1","PREDICTED: Phocoena phocoena microcephalin 1 (MCPH1), mRNA","2487"
"45","Phocoena sinus","XM_032618443.1","PREDICTED: Phocoena sinus microcephalin 1 (MCPH1), transcript variant X2, mRNA","3035"
"46","Phocoena dioptrica",NA,NA,NA
"47","Phocoena spinipinnis",NA,NA,NA
"48","Neophocaena phocaenoides","KY011995.1","Neophocaena phocaenoides isolate M7 MCPH1 (MCPH1) gene, exons 1 through 12 and partial cds","3539"
"49","Phocoenoides dalli","HQ873582.1","Phocoenoides dalli voucher SWFSC Z38979 microcephalin (MCPH1) gene, exon 8 and partial cds","1224"
"50","Delphinapterus leucas","XR_002644157.2","PREDICTED: Delphinapterus leucas microcephalin 1 (MCPH1), transcript variant X7, misc_RNA","1574"
"51","Monodon monoceros","XM_029226314.1","PREDICTED: Monodon monoceros microcephalin 1 (MCPH1), mRNA","2719"
"52","Physeter macrocephalus","XM_055080957.1","PREDICTED: Physeter macrocephalus microcephalin 1 (MCPH1), transcript variant X2, mRNA","2744"
"53","Kogia breviceps","XM_067022552.1","PREDICTED: Kogia breviceps microcephalin 1 (MCPH1), mRNA","4492"
"54","Kogia sima","KY011999.1","Kogia sima isolate M11 MCPH1 pseudogene, partial sequence","3212"
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii","HQ873574.1","Berardius bairdii voucher SWFSC Z4963 microcephalin (MCPH1) gene, exon 8 and partial cds","1221"
"57","Ziphius cavirostris","HQ873575.1","Ziphius cavirostris voucher SWFSC Z2157 microcephalin (MCPH1) gene, exon 8 and partial cds","757"
"58","Tasmacetus shepherdi",NA,NA,NA
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus",NA,NA,NA
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi",NA,NA,NA
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens","HQ873576.1","Mesoplodon bidens voucher SWFSC Z3859 microcephalin (MCPH1) gene, exon 8 and partial cds","757"
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris","XR_009530787.1","PREDICTED: Mesoplodon densirostris microcephalin 1 (MCPH1), transcript variant X4, misc_RNA","2300"
"73","Eschrichtius robustus","XM_068532036.1","PREDICTED: Eschrichtius robustus microcephalin 1 (MCPH1), transcript variant X6, mRNA","2489"
"74","Balaenoptera acutorostrata","XM_057537235.1","PREDICTED: Balaenoptera acutorostrata microcephalin 1 (MCPH1), transcript variant X7, mRNA","3050"
"75","Balaenoptera edeni",NA,NA,NA
"76","Balaenoptera borealis",NA,NA,NA
"77","Balaenoptera physalus","HQ873570.1","Balaenoptera physalus microcephalin (MCPH1) gene, exon 8 and partial cds","1166"
"78","Balaenoptera musculus","XM_036838457.1","PREDICTED: Balaenoptera musculus microcephalin 1 (MCPH1), transcript variant X8, mRNA","2463"
"79","Megaptera novaeangliae","HQ873571.1","Megaptera novaeangliae voucher SWFSC Z11727 microcephalin (MCPH1) gene, exon 8 and partial cds","1166"
"80","Balaena mysticetus",NA,NA,NA
"81","Caperea marginata",NA,NA,NA
"82","Eubalaena glacialis","XM_061177356.1","PREDICTED: Eubalaena glacialis microcephalin 1 (MCPH1), transcript variant X8, mRNA","2639"
"83","Stenella frontalis",NA,NA,NA
"84","Globicephala melas","XM_070044625.1","PREDICTED: Globicephala melas microcephalin 1 (MCPH1), transcript variant X3, mRNA","2092"
"85","Eubalaena australis",NA,NA,NA
"86","Mesoplodon peruvianus",NA,NA,NA
"87","Eubalaena japonica",NA,NA,NA
"88","Balaenoptera bonaerensis",NA,NA,NA
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus","KY011991.1","Tursiops aduncus isolate M3 MCPH1 (MCPH1) gene, exons 1 through 12 and partial cds","3539"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai","KY012001.1","Balaenoptera omurai isolate M13 MCPH1 (MCPH1) gene, exons 1 through 12 and partial cds","3548"
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
"97","Hexaprotodon liberiensis",NA,NA,NA
"98","Hexaprotodon madagascariensis",NA,NA,NA
"99","Hippopotamus amphibius","XM_057697003.1","PREDICTED: Hippopotamus amphibius kiboko microcephalin 1 (MCPH1), transcript variant X6, mRNA","1762"
"100","Hippopotamus lemerlei",NA,NA,NA
"101","Hippopotamus laloumena",NA,NA,NA
