"","SpeciesName","AccNum","SeqName","SeqLen"
"25","Lagenorhynchus albirostris","OR530493.1","Lagenorhynchus_albirostris_voucher_USNM:MAMM:550223_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","658"
"26","Lagenorhynchus acutus","OR530710.1","Leucopleurus_acutus_voucher_USNM:MAMM:572517_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"27","Lagenorhynchus obliquidens","OR530477.1","Sagmatias_obliquidens_voucher_USNM:MAMM:504851_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","658"
"28","Lagenorhynchus obscurus",NA,NA,NA
"29","Lagenorhynchus australis","OQ780266.1","Lagenorhynchus_australis_voucher_111M_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","313"
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii","OR530492.1","Cephalorhynchus_commersonii_voucher_USNM:MAMM:550155_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","658"
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis",NA,NA,NA
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus","OR530724.1","Grampus_griseus_voucher_USNM:MAMM:572966_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","646"
"38","Peponocephala electra","EU496294.1","Peponocephala_electra_voucher_SEFSC:MMMGL:Pele004_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"39","Feresa attenuata","OQ301790.1","Feresa_attenuata_voucher_TN20050222-5_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_complete_cds;_mitochondrial","1551"
"40","Pseudorca crassidens","EU496322.1","Pseudorca_crassidens_voucher_SEFSC:MMMGL:Pcra004_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"41","Globicephala macrorhynchus","OR531086.1","Globicephala_macrorhynchus_voucher_USNM:MAMM:619514_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","625"
"42","Orcinus orca","OR530478.1","Orcinus_orca_voucher_USNM:MAMM:504925_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"43","Orcaella brevirostris",NA,NA,NA
"44","Phocoena phocoena","OR530722.1","Phocoena_phocoena_voucher_USNM:MAMM:572934_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"45","Phocoena sinus","EU496314.1","Phocoena_sinus_voucher_SEFSC:MMMGL:1661_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"46","Phocoena dioptrica","MW446675.1","Phocoena_dioptrica_voucher_ii_47907_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","647"
"47","Phocoena spinipinnis","EU496317.1","Phocoena_spinipinnis_voucher_SEFSC:MMMGL:Pspin1_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"48","Neophocaena phocaenoides","EU496316.1","Neophocaena_phocaenoides_voucher_SEFSC:MMMGL:NP1_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"49","Phocoenoides dalli","EU496318.1","Phocoenoides_dalli_voucher_SEFSC:MMMGL:Pdalli1_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"50","Delphinapterus leucas","OR530464.1","Delphinapterus_leucas_voucher_USNM:MAMM:504673_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","658"
"51","Monodon monoceros",NA,NA,NA
"52","Physeter macrocephalus","PQ432899.1","Physeter_macrocephalus_isolate_SC_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","683"
"53","Kogia breviceps","OR530497.1","Kogia_breviceps_voucher_USNM:MAMM:550477_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"54","Kogia sima","PQ932015.1","Kogia_sima_isolate_AIWC_RESbk_23_771_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","608"
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii","OR530502.1","Berardius_bairdii_voucher_USNM:MAMM:550895_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"57","Ziphius cavirostris","OR531036.1","Ziphius_cavirostris_voucher_USNM:MAMM:594501_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"58","Tasmacetus shepherdi","OR530438.1","Tasmacetus_shepherdi_voucher_USNM:MAMM:484878_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","594"
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus","OR531045.1","Hyperoodon_ampullatus_voucher_USNM:MAMM:594511_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus","OR530690.1","Mesoplodon_mirus_voucher_USNM:MAMM:571459_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"64","Mesoplodon europaeus","OR530712.1","Mesoplodon_europaeus_voucher_USNM:MAMM:572543_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi",NA,NA,NA
"67","Mesoplodon carlhubbsi","EU496310.1","Mesoplodon_carlhubbsi_voucher_SEFSC:MMMGL:MC-1_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri","PV422576.1","Mesoplodon_stejnegeri_isolate_Ms_2023_rus_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","626"
"70","Mesoplodon bidens","OR530723.1","Mesoplodon_bidens_voucher_USNM:MAMM:572954_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris","OR530718.1","Mesoplodon_densirostris_voucher_USNM:MAMM:572752_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"73","Eschrichtius robustus","EU496281.1","Eschrichtius_robustus_voucher_SEFSC:MMMGL:2ER-1_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"74","Balaenoptera acutorostrata","OR701858.1","Balaenoptera_acutorostrata_voucher_TC0501_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","208"
"75","Balaenoptera edeni","OR701854.1","Balaenoptera_edeni_voucher_MA0394_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","208"
"76","Balaenoptera borealis","OR530688.1","Balaenoptera_borealis_voucher_USNM:MAMM:571436_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"77","Balaenoptera physalus","OR701848.1","Balaenoptera_physalus_voucher_MAM018202_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","208"
"78","Balaenoptera musculus","PV679920.1","Balaenoptera_musculus_isolate_PWF-Bm23-001_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","670"
"79","Megaptera novaeangliae","OR701853.1","Megaptera_novaeangliae_voucher_MA0046_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","208"
"80","Balaena mysticetus",NA,NA,NA
"81","Caperea marginata",NA,NA,NA
"82","Eubalaena glacialis","OR530713.1","Eubalaena_glacialis_voucher_USNM:MAMM:572692_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"83","Stenella frontalis","OR530714.1","Stenella_frontalis_voucher_USNM:MAMM:572701_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"84","Globicephala melas","OR531085.1","Globicephala_melas_voucher_USNM:MAMM:619512_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"85","Eubalaena australis","MW446729.1","Eubalaena_australis_voucher_GEMARS_1467_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","663"
"86","Mesoplodon peruvianus",NA,NA,NA
"87","Eubalaena japonica",NA,NA,NA
"88","Balaenoptera bonaerensis","MW446721.1","Balaenoptera_bonaerensis_voucher_ECOMEGA/FURG_minke_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","618"
"89","Sousa plumbea","PQ436519.1","Sousa_plumbea_isolate_KSP_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","689"
"90","Tursiops aduncus","EU496330.1","Tursiops_aduncus_voucher_SEFSC:MMMGL:Tadu001_cytochrome_oxidase_subunit_I_(cox1)_gene,_partial_cds;_mitochondrial","686"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini","OR530456.1","Mesoplodon_perrini_voucher_USNM:MAMM:504259_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","657"
"93","Balaenoptera omurai","OR701857.1","Balaenoptera_omurai_voucher_PHAQ_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","208"
"94","Sotalia guianensis","MW446763.1","Sotalia_guianensis_voucher_AQUASIS_02C1412/523_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","654"
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
"97","Hexaprotodon liberiensis",NA,NA,NA
"98","Hexaprotodon madagascariensis",NA,NA,NA
"99","Hippopotamus amphibius","PQ902075.1","Hippopotamus_amphibius_isolate_AIWC_RES_24_0304_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial","600"
"100","Hippopotamus lemerlei",NA,NA,NA
"101","Hippopotamus laloumena",NA,NA,NA
